1;Technical;E&ECE;;Technical;E&ECE;;Technical;E&ECE;
2;Technical;Electrical Engineering: Any;;Technical;Electrical Engineering: Any;;Technical;Electrical Engineering: Any;
3;Non-Technical;Any;;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;
4;Technical;Mechanical Engineering: Machine Design and Dynamics;;Technical;Mechanical Engineering: Power Plant and I.C. Engine;;Technical;Mechanical Engineering: Manufacturing Processes and Systems;
5;Technical;Computer Science and Engineering: Any;;Non-Technical;Consulting;;Technical;Computer Science and Engineering: Software Engineering;
6;Technical;Metallurgical Engineering and Material Science: Any;;Technical;Metallurgical Engineering and Material Science: Any;;Technical;Metallurgical Engineering and Material Science: Advanced Ceramics;
7;Technical;Mechanical Engineering: CAD-CAM Robotics,Artificial Intelligence;;Technical;Mechanical Engineering: CAD-CAM Robotics,Artificial Intelligence;;Non-Technical;Any;
8;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
9;Non-Technical;Finance;;Non-Technical;Finance;;Non-Technical;Finance;
10;Technical;electrical;;Technical;electrical;;Technical;electrical;
11;Technical;Mechanical Engineering: Manufacturing Processes and Systems;;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;
12;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;
13;Technical;Computer Science and Engineering: Any;;Technical;Computer Science and Engineering: Any;;Technical;Computer Science and Engineering: Any;
14;Technical;Computer Science and Engineering: Digital Image Processing;;Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Computer Science and Engineering: Machine Learning/Data Mining;
15;Technical;Metallurgical Engineering and Material Science: Any;;Technical;Metallurgical Engineering and Material Science: Any;;Non-Technical;Enterpreneurship;
16;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;
17;Technical;Biotechnology;;Technical;Biotechnology;;Technical;Biotechnology;
18;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mechanical Engineering: Any;;Technical;No Specific area of interest: Any;
19;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;
20;Technical;Chemical Engineering: Environmental Engineering;;Technical;Chemical Engineering: Membrane Processes;;Technical;Chemical Engineering: Any;
21;Technical;Mechanical Engineering: CAD-CAM Robotics,Artificial Intelligence;;Technical;Mechanical Engineering: Machine Design and Dynamics;;Technical;Mechanical Engineering: Any;
22;Technical;Metallurgical Engineering and Material Science: Any;;Technical;Metallurgical Engineering and Material Science: Any;;Technical;Metallurgical Engineering and Material Science: Any;
23;Technical;Metallurgical Engineering and Material Science: Nano Materials;;Non-Technical;Finance;;Non-Technical;Finance;
24;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Solid Mechanics & Stress Analysis;;Technical;Mechanical Engineering: Any;
25;Technical;Computer Science and Engineering: Any;;Technical;Computer Science and Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;
26;Technical;Aerospace Engineering: Aerodynamics;;Technical;Aerospace Engineering: Integrated Modeling and Simulation;;Technical;Aerospace Engineering: Structures;
27;Technical;Agricultural & Food Engineering: Any;;Technical;Agricultural & Food Engineering: Any;;Technical;No Specific area of interest: Any;
28;Technical;electrical;;Technical;electrical;;Technical;electrical;
29;Technical;Electrical Engineering: Any;;Technical;Electrical Engineering: Any;;Non-Technical;Government Administrations;
30;Technical;Mathematics: Any;;Technical;Computer Science and Engineering: Machine Learning/Data Mining;;Technical;Computer Science and Engineering: Embedded Systems;
31;Technical;Agricultural and Food Engineering;;Technical;Agricultural and Food Engineering;;Technical;Agricultural and Food Engineering;
32;Technical;Biotechnology: Any;;Technical;Computer Science and Engineering: Machine Learning/Data Mining;;Technical;Biotechnology: Any;
33;Technical;Electrical Engineering: Power Electronics & Power Systems;;Technical;Electrical Engineering: Micro Electronics;;Technical;Electrical Engineering: Communication and Signal Processing;
34;Technical;Agricultural & Food Engineering: Any;;Technical;Agricultural & Food Engineering: Any;;Technical;No Specific area of interest: Any;
35;Technical;Industrial Engineering Operations Research: Financial Engineering;;Technical;Industrial Engineering Operations Research: Supply Chain Analysis and Inventory ;;Technical;Industrial Engineering Operations Research: Optimization: Models, theory and alg;
36;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mathematics: Any;;Technical;Mechanical Engineering: Machine Design and Dynamics;
37;Technical;Civil Engineering: Any;;Technical;Civil Engineering: Any;;Technical;Civil Engineering: Any;
38;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;;Technical;Civil Engineering: Any;
39;Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;
40;Technical;Chemical Engineering: Any;;Non-Technical;Consulting;;Technical;Chemical Engineering: Any;
41;Technical;Computer Science and Engineering: Digital Image Processing;;Technical;Mathematics: Statistics;;Technical;Electrical Engineering: Communication and Signal Processing;
42;Non-Technical;Consulting;;Technical;Industrial Engineering Operations Research: Financial Engineering;;Technical;Industrial Engineering Operations Research: Supply Chain Analysis and Inventory ;
43;Technical;Mathematics: Theoretical Computer Science;;Technical;Computer Science and Engineering: Database;;Non-Technical;Any;
44;Technical;Electronics and Electrical Communication Engineering;;Technical;Electronics and Electrical Communication Engineering;;Technical;Electronics and Electrical Communication Engineering;
45;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
46;Technical;Electrical;;Technical;Electrical;;Technical;Electrical;
47;Technical;ARP;;Technical;ARP;;Technical;ARP;
48;Technical;ECE;;Technical;ECE;;Technical;ECE;
49;Technical;Metallurgical Engineering and Material Science: Powder Metallurgy/Powder Processing;;Technical;Metallurgical Engineering and Material Science: Failure and Fracture Mechanics;;Technical;Metallurgical Engineering and Material Science: Deformation Behaviour/Metal Form;
50;Non-Technical;Banking Finance;;Non-Technical;Banking Finance;;Non-Technical;Consulting;
51;Technical;Electrical Engineering: Any;;Technical;Electrical Engineering: Any;;Technical;Electrical Engineering: Any;
52;Technical;Ocean Engineering & Naval Architecture: Any;;Technical;Ocean Engineering & Naval Architecture: Any;;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;
53;Technical;AGFE;;Technical;AGFE;;Technical;AGFE;
54;Technical;Industrial and Systems Engineering;;Technical;Industrial and Systems Engineering;;Technical;Industrial and Systems Engineering;
55;Non-Technical;Marketing and Advertising;;Non-Technical;Consulting;;Non-Technical;Any;
56;Non-Technical;Enterpreneurship;;Technical;Metallurgical Engineering and Material Science: Advanced Ceramics;;Non-Technical;Enterpreneurship;
57;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;;Technical;Mechanical Engineering;
58;Technical;Mechanical Engineering: Manufacturing Processes and Systems;;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;
59;Technical;Chemistry;;Technical;Chemistry;;Technical;Chemistry;
60;Technical;No Specific area of interest: Any;;Technical;Metallurgical Engineering and Material Science: Any;;Technical;Metallurgical Engineering and Material Science: Any;
61;Technical;Industrial Engineering Operations Research: Optimization: Models, theory and algorithms;;Technical;Industrial Engineering Operations Research: Supply Chain Analysis and Inventory ;;Non-Technical;Finance;
62;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;
63;Technical;Chemistry: Any;;Technical;Chemistry: Any;;Technical;No Specific area of interest: Any;
64;Technical;Mathematics;;Technical;Mathematics;;Technical;Mathematics;
65;Technical;mechanical;;Technical;mechanical;;Technical;mechanical;
